Ranking,CompanyName,TaxPaid,Link,Industry,Type,TotalProfit,MarketCap,TotalRevenue,Full Earnings,Full Revenue
30,CTCP Sữa Việt Nam,4104,https://cafef.vn/du-lieu//hose/VNM-ctcp-sua-viet-nam.chn,F&B,Private,9392310356,"117455,50",61823889923,True,True
31,Tổng Công ty Khánh Việt,"4060,40",https://cafef.vn/du-lieu//otc/KHATOCO-tong-cong-ty-khanh-viet.chn,Thuốc lá,SOE,,,0,False,False
32,Tổng công ty Cảng hàng không Việt Nam - CTCP,3894,https://cafef.vn/du-lieu//upcom/ACV-tong-cong-ty-cang-hang-khong-viet-nam-ctcp.chn,Hàng không,SOE,11763433455,"212688,06",23366300997,True,True
33,Tổng CTCP Bia - Rượu - Nước giải khát Hà Nội,3666,https://cafef.vn/du-lieu//hose/BHN-tong-ctcp-bia-ruou-nuoc-giai-khat-ha-noi.chn,F&B/Bia rượu,SOE,420273395,"8379,57",8459192465,True,True
34,Tổng Công ty Đầu tư và Kinh doanh vốn Nhà nước,"3629,89",https://cafef.vn/du-lieu//otc/SCIC-tong-cong-ty-dau-tu-va-kinh-doanh-von-nha-nuoc.chn,Đầu tư,SOE,,,0,False,False
35,Công ty THHH bia Carlsberg Việt Nam,3500,https://cafef.vn/du-lieu//otc/CARLSBERG-cong-ty-thhh-bia-carlsberg-viet-nam.chn,F&B/Bia rượu,Foreign,,,0,False,False
36,Tổng Công ty Thương mại Sài Gòn - TNHH MTV,"3492,40",https://cafef.vn/du-lieu//otc/SATRA-tong-cong-ty-thuong-mai-sai-gon-tnhh-mtv.chn,Phân phối - Bán lẻ,SOE,,,0,False,False
37,Tổng Công ty Công nghiệp Sài Gòn - TNHH MTV,"3436,30",,Thuốc lá,SOE,False,False
38,Tổng Công ty Hàng không Việt Nam - CTCP,"3344,20",https://cafef.vn/du-lieu//hose/HVN-tong-cong-ty-hang-khong-viet-nam-ctcp.chn,Hàng không,SOE,6023914787,"76175,16",109144878896,True,True
39,Ngân hàng TMCP Quốc tế Việt Nam,3268,https://cafef.vn/du-lieu//hose/VIB-ngan-hang-tmcp-quoc-te-viet-nam.chn,Ngân hàng,Private,,"54220,13",0,False,False
40,Tổng Công ty Thương mại Xuất nhập khẩu Thanh Lễ - CTCP,"3150,30",https://cafef.vn/du-lieu//upcom/TLP-tong-cong-ty-thuong-mai-xuat-nhap-khau-thanh-le-ctcp.chn,Xăng dầu,SOE,46733448,"1466,80",20413120644,True,True
41,Ngân hàng TMCP Sài Gòn Hà Nội,"3091,80",https://cafef.vn/du-lieu//hose/SHB-ngan-hang-tmcp-sai-gon-ha-noi.chn,Ngân hàng,Private,,"52848,26",0,False,False
42,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,"2995,30",https://cafef.vn/du-lieu//hose/HDB-ngan-hang-tmcp-phat-trien-thanh-pho-ho-chi-minh.chn,Ngân hàng,Private,,,0,False,False
